epoch,train_loss,train_character_accuracy,validation_loss,validation_character_accuracy
1,2.296323187543617,0.435934808533192,1.2116825999794425,0.739222316145393
2,0.9885291776247052,0.7731548959851596,0.5189109932842239,0.9294167371090448
3,0.6166550237658294,0.8757122035245793,0.3133698663566441,0.9598478444632291
4,0.4734188103116678,0.9047303564330197,0.23076117411570737,0.9683009298393914
5,0.3983748245313497,0.9223532529481914,0.1863860380619336,0.9733727810650887
6,0.34773272875367184,0.9341460182854114,0.16594829850547513,0.9767540152155537
7,0.31103839081487106,0.9403736584073141,0.1488633558897275,0.9797125950972105
8,0.2823484292271375,0.948456340267656,0.1349919309378275,0.9809805579036348
9,0.2586412969288075,0.9538889625016563,0.1263133932349043,0.9809805579036348
10,0.24322348619448803,0.9579965549224858,0.12218662756333791,0.9822485207100592
11,0.22807431445700516,0.9611766264740956,0.11609612056388759,0.9826711749788672
12,0.2164440587393982,0.9639591890817544,0.10969202783484633,0.9830938292476754
13,0.20694839561461012,0.9636941831191201,0.10493728168315034,0.9839391377852916
14,0.1978316490257183,0.9671392606333643,0.10354687889450602,0.9835164835164835
15,0.19091905720410512,0.9680667815025839,0.10139194657413615,0.9830938292476754
16,0.18394804086150657,0.9696568172783888,0.09914717226842652,0.9843617920540998
17,0.1760465830378901,0.9712468530541937,0.0952653253572227,0.985207100591716
18,0.16992916233123842,0.9724393798860475,0.09513764192971352,0.9839391377852916
19,0.1671739534082611,0.9721743739234133,0.09300982390332807,0.9856297548605241
20,0.15994383551094474,0.9731018947926329,0.09013865413246575,0.985207100591716
21,0.1541757072650693,0.9741619186431695,0.09009571430145032,0.9856297548605241
22,0.15201022450388765,0.9741619186431695,0.08993106304541142,0.9856297548605241
23,0.1439824268089567,0.9764144693255599,0.0860441693137081,0.9860524091293322
24,0.142017480968734,0.9760169603816086,0.08670638706960218,0.9864750633981403
25,0.1386571048740537,0.9773419901947794,0.08638820853257521,0.9864750633981403
26,0.13350268570937998,0.978402014045316,0.08596868751317087,0.9864750633981403
27,0.1295801391216703,0.978269511063999,0.08541137640091291,0.9864750633981403
28,0.12529199277310557,0.9786670200079501,0.08495998463183263,0.9868977176669484
29,0.12239773305335613,0.9805220617463893,0.08669969913119092,0.9873203719357565
30,0.11835654914957633,0.9806545647277064,0.08479764533566904,0.9856297548605241
31,0.11455895252722265,0.981714588578243,0.08492366275541478,0.9860524091293322
32,0.11173823651563605,0.9818470915595601,0.08385507723384254,0.9868977176669484
33,0.10801322567663525,0.981714588578243,0.08205870892269976,0.9868977176669484
34,0.1046929739690094,0.9829071154100967,0.08477359181325111,0.9864750633981403
35,0.10115305296839769,0.9823771034848284,0.0869769244151708,0.9868977176669484
36,0.09780838644783339,0.9837021332979992,0.0817545876347807,0.9877430262045647
37,0.09652082822655185,0.9839671392606334,0.08416866240920601,0.9873203719357565
38,0.09135794230481718,0.9847621571485359,0.08286447839422541,0.9873203719357565
39,0.08964165127465341,0.9847621571485359,0.08262939034431341,0.9873203719357565
40,0.0856249495196559,0.9847621571485359,0.08369288460642024,0.9860524091293322
