epoch,train_loss,train_character_accuracy,validation_loss,validation_character_accuracy
1,2.2819010195076097,0.44893051512466775,1.2228328778455877,0.7038283550694152
2,0.839228409896122,0.8309074800658145,0.5329265537310108,0.9082877576777451
3,0.4269363265930135,0.9192507277559803,0.35090351877064074,0.9385780395456458
4,0.2962640602216587,0.9424123528667258,0.28593103209613097,0.9453092132940681
5,0.23959696520326892,0.9520313884318441,0.25751590844107414,0.9507782919646613
6,0.20655638693352468,0.9582331350461967,0.240397118749767,0.950357593605385
7,0.18690042533220905,0.9615238577395266,0.22777632023037409,0.9528817837610434
8,0.16912443238622765,0.9655739779774712,0.21620964377077878,0.9566680689945309
9,0.15564459775795048,0.9687381344133654,0.2104874921035606,0.9558266722759782
10,0.14445119279858404,0.9703834957600304,0.2051130479055139,0.9583508624316365
11,0.13495708618173038,0.9734210859384888,0.20058981520717364,0.9604543542280185
12,0.1273814528565696,0.9745601822554107,0.1963693471731235,0.9617164493058477
13,0.11917670987147558,0.9759524110872041,0.192010644558452,0.9625578460244005
14,0.11420677187940377,0.9774712061764333,0.19029756077809348,0.9642406394615061
15,0.10680722968893072,0.9797493988102772,0.18486938694218502,0.9650820361800589
16,0.10288362149769197,0.9794962662954056,0.18310931679778206,0.9655027345393353
17,0.09597820243100971,0.9821541577015568,0.182059746431512,0.9646613378207824
18,0.09111911072287887,0.9831666877610429,0.18361389797477096,0.9646613378207824
19,0.08758091313016896,0.9843057840779648,0.1819177337388908,0.9650820361800589
20,0.08361429251271205,0.9854448803948868,0.17957089388124772,0.9650820361800589
